from_HexID,to_HexID,distance
0,2,3024.0880068475917
0,3,4197.891632102049
0,4,5237.9159840144275
0,5,6295.233969427434
0,6,7609.648468858369
0,7,9640.863624336884
0,8,1792.8501046070396
0,9,4088.3315457343256
0,10,5239.926762641594
0,11,6196.073974314167
0,12,7378.26447767763
0,13,8706.824497435768
0,14,10245.271765563388
0,16,2827.048443016284
0,17,4283.771372983005
0,18,5299.98101133313
0,19,5958.738008084142
0,20,7042.7829312608055
0,22,9216.809358331486
0,23,3514.1878854307006
0,24,3454.876627018124
0,25,4207.2770423341
0,26,5120.957640045026
0,27,6624.504677479518
0,28,7756.318227874247
0,29,8809.001452274133
0,30,9597.239309652252
0,31,3709.1728087332494
0,32,4620.695021829144
0,33,5307.668161746768
0,34,6599.811062389825
0,35,7488.145428596067
0,36,7552.161317330386
0,38,9598.05973665718
0,39,5038.448844552523
0,40,6702.3743467738495
0,42,8177.138707437838
0,44,7672.252421914885
0,45,9083.36489350578
0,46,10166.31963671031
0,47,5486.3792873827215
0,48,6147.41220219512
0,49,6975.718634162487
0,50,7336.721768527532
0,51,7804.766450212061
0,52,8961.599139199428
0,53,8202.96519479989
0,54,9860.247023562097
0,55,6568.749651668672
0,56,7124.551261702439
0,57,8244.88566510857
0,58,8525.161936048511
0,59,9414.96701578955
0,60,9521.087383547225
0,61,9476.097509077646
0,62,10562.332633976452
2,3,1210.290160983698
2,4,2250.314512896078
2,5,3307.632498309086
2,6,4622.046997740019
2,7,6653.262153218531
2,8,4118.51674330308
2,9,1100.7300746159797
2,10,2252.3252915232433
2,11,3208.4725031958205
2,12,4390.663006559286
2,13,5719.223026317415
2,14,7257.670294445037
2,16,3130.1205798697065
2,17,2394.1165542303947
2,18,2515.337424621312
2,19,2971.1365369657924
2,20,4055.1814601424603
2,22,6229.207887213133
2,23,5839.854524126743
2,24,3042.273417733332
2,25,3041.60423895739
2,26,3290.292584428495
2,27,3838.754582450657
2,28,4768.716756755895
2,29,5821.399981155786
2,30,6609.637838533911
2,31,6002.116428850673
2,32,6946.361660525183
2,33,7633.334800442809
2,34,8925.477701085865
2,35,4803.677552349035
2,36,4833.629955215906
2,38,6610.458265538828
2,39,7331.392464669947
2,40,8703.899351197375
2,42,10098.923394649655
2,44,6251.717870194008
2,45,6927.380277440445
2,46,7911.133178722136
2,47,7416.9087472738465
2,48,8122.963204369155
2,49,8965.14733225431
2,50,9662.388407223569
2,51,9132.731886904727
2,52,8462.721139512185
2,53,6806.123871458256
2,54,7812.426957948217
2,55,8499.279111559796
2,56,9101.44991684589
2,57,10234.314363200383
2,58,10628.820403153251
2,59,8782.086171850338
2,60,8813.683924418563
2,61,8055.562957356758
2,62,8925.926357334065
3,4,1465.6516648401162
3,5,2697.702873882898
3,6,4012.117373313831
3,7,6043.3325287923435
3,8,5292.320368557534
3,9,1962.303567427121
3,10,1718.6206671116292
3,11,2598.5428787696337
3,12,3780.7333821331017
3,13,5109.293401891228
3,14,6723.965670033421
3,16,4285.265434766135
3,17,2870.374271802158
3,18,2503.065968909866
3,19,2437.4319125541774
3,20,3521.4768357308453
3,22,5695.503262801517
3,23,7013.658149381196
3,24,3518.531135305095
3,25,3249.658220132982
3,26,2779.961637257485
3,27,3305.0499580390433
3,28,4235.01213234428
3,29,5287.69535674417
3,30,6075.933214122295
3,31,7175.920054105125
3,32,8120.165285779636
3,33,8807.13842569726
3,34,10099.28132634032
3,35,4269.972927937422
3,36,4299.925330804292
3,38,6076.753641127213
3,39,8505.196089924399
3,40,9877.702976451827
3,42,9660.219793535489
3,44,5813.014269079843
3,45,6393.67565302883
3,46,7377.428554310522
3,47,8590.712372528296
3,48,9296.766829623597
3,49,10138.950957508763
3,50,9661.258383120588
3,51,8694.02828579056
3,52,8024.017538398022
3,53,6367.420270344091
3,54,7278.7223335366025
3,55,9673.082736814249
3,56,10275.253542100332
3,57,10413.899987545334
3,58,10472.010256777232
3,59,8343.38257073617
3,60,8374.980323304397
3,61,7616.859356242593
3,62,8392.221732922453
4,5,1453.366503408455
4,6,2739.2681967803583
4,7,4798.996158317906
4,8,6332.344720469918
4,9,3002.3279193394983
4,10,1915.014363687488
4,11,1511.079189431049
4,12,2596.8618111351557
4,13,3864.9570314167895
4,14,5937.944952315421
4,16,4570.712926034794
4,17,3155.8217630708186
4,18,2788.513460178527
4,19,2633.825609130035
4,20,2885.106678209478
4,22,5023.349316109705
4,23,8053.6825012935815
4,24,3803.9786265737557
4,25,3535.105711401643
4,26,2976.3553338333445
4,27,3491.0277739058756
4,28,4125.387274684676
4,29,4760.306564126981
4,30,5548.544421505107
4,31,8215.944406017508
4,32,9160.189637692023
4,33,9847.162777609645
4,34,10936.88259914735
4,35,4457.6928838582
4,36,4487.645286725069
4,38,5746.478450459481
4,39,9545.220441836778
4,40,10917.727328364206
4,42,9856.61349011135
4,44,6009.407965655702
4,45,6184.317484166909
4,46,7047.153363642789
4,47,9630.736724440676
4,48,10336.791181535977
4,49,10759.460291147741
4,50,9857.652079696449
4,51,8890.42198236642
4,52,8220.41123497388
4,53,6563.81396691995
4,54,7069.364164674681
4,55,10713.107088726629
4,56,11315.277894012712
4,57,10610.293684121196
4,58,10668.403953353092
4,59,8539.77626731203
4,60,8571.374019880257
4,61,7813.253052818452
4,62,8182.86356406053
5,6,1380.4052825021226
5,7,3496.6076797846877
5,8,7389.662705882927
5,9,4059.6459047525104
5,10,2971.0020128032847
5,11,1045.5353979369997
5,12,1326.5555372376364
5,13,2562.568552883571
5,14,4635.556473782207
5,16,5628.030911447804
5,17,4213.139748483828
5,18,3845.831445591536
5,19,2602.2231340737058
5,20,1915.8508336341595
5,22,3753.0430422121863
5,23,9111.000486706585
5,24,4861.296611986763
5,25,4592.423696814655
5,26,3796.568135637
5,27,2921.5393095965856
5,28,3340.599428843022
5,29,3728.8695653832797
5,30,4517.107422761405
5,31,9273.262391430517
5,32,10217.507623105028
5,33,10904.48076302265
5,34,10804.372570434742
5,35,3805.666606616355
5,36,3835.6190094832227
5,38,4715.04145171578
5,39,10602.538427249787
5,40,11916.317539924354
5,42,9724.103461398741
5,44,5867.6727267001115
5,45,5384.355684569898
5,46,6015.716364899088
5,47,10688.054709853695
5,48,11288.480144056459
5,49,10322.306367253326
5,50,9420.498155802034
5,51,8757.911953653813
5,52,8087.901206261275
5,53,6431.303938207343
5,54,6269.40236507767
